model,embedding_file,embedding_dim,doc_count,query_count,strategy,anchor_count,top_k,pool_size,mean_recall,all_top_k_contained,any_hit,anchor_select_seconds,signature_build_seconds,search_ms_per_query
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,farthest_row_zscore,256,10,100,0.9355,0.594,1.0,0.28201730002183467,0.027874400024302304,0.7707579999696463
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,farthest_row_zscore,256,10,250,0.9824,0.863,1.0,0.28201730002183467,0.027874400024302304,0.7707579999696463
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,farthest_row_zscore,256,10,500,0.9962000000000001,0.964,1.0,0.28201730002183467,0.027874400024302304,0.7707579999696463
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,384,3000,1000,farthest_row_zscore,256,10,1000,0.9997999999999999,0.998,1.0,0.28201730002183467,0.027874400024302304,0.7707579999696463
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,random_raw,256,10,50,0.8584,0.351,1.0,0.0002066000597551465,0.017039399943314493,0.9397592999739572
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,random_raw,256,10,100,0.926,0.585,1.0,0.0002066000597551465,0.017039399943314493,0.9397592999739572
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,random_raw,256,10,250,0.9746,0.819,1.0,0.0002066000597551465,0.017039399943314493,0.9397592999739572
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,random_raw,256,10,500,0.9909000000000001,0.923,1.0,0.0002066000597551465,0.017039399943314493,0.9397592999739572
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,random_raw,256,10,1000,0.9987,0.988,1.0,0.0002066000597551465,0.017039399943314493,0.9397592999739572
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,random_row_zscore,256,10,50,0.8656,0.372,1.0,0.0002794000320136547,0.025454399990849197,0.7266532999929041
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,random_row_zscore,256,10,100,0.9299,0.578,1.0,0.0002794000320136547,0.025454399990849197,0.7266532999929041
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,random_row_zscore,256,10,250,0.9777,0.837,1.0,0.0002794000320136547,0.025454399990849197,0.7266532999929041
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,random_row_zscore,256,10,500,0.9928,0.939,1.0,0.0002794000320136547,0.025454399990849197,0.7266532999929041
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,random_row_zscore,256,10,1000,0.999,0.991,1.0,0.0002794000320136547,0.025454399990849197,0.7266532999929041
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,farthest_raw,256,10,50,0.9069,0.471,1.0,0.10329310002271086,0.01402350002899766,0.8422064000042155
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,farthest_raw,256,10,100,0.9582999999999999,0.715,1.0,0.10329310002271086,0.01402350002899766,0.8422064000042155
sentence-transformers/all-MiniLM-L6-v2,experiments\robustness_3k_general\outputs\embeddings\sentence_transformers__all_MiniLM_L6_v2_n3000_tok160.npy,384,3000,1000,farthest_raw,256,10,250,0.9884,0.903,1.0,0.10329310002271086,0.01402350002899766,0.8422064000042155
