model,embedding_file,strategy,doc_count,train_docs,train_queries,eval_queries,candidate_anchor_count,anchor_count,top_k,pool_size,mean_recall,all_top_k_contained,any_hit,search_ms_per_query,train_seconds,final_train_loss
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,25,0.690625,0.095,1.0,0.9205518750013653,0.0,2.602038621902466
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,50,0.814125,0.27125,1.0,0.9205518750013653,0.0,2.602038621902466
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,100,0.9051250000000001,0.4875,1.0,0.9205518750013653,0.0,2.602038621902466
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,250,0.967875,0.75875,1.0,0.9205518750013653,0.0,2.602038621902466
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,500,0.987125,0.89125,1.0,0.9205518750013653,0.0,2.602038621902466
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,1000,0.996,0.9625,1.0,0.9205518750013653,0.0,2.602038621902466
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,10,0.5067499999999999,0.00625,0.9975,0.8532353749978938,0.0,2.602038621902466
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,25,0.72125,0.125,1.0,0.8532353749978938,0.0,2.602038621902466
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,50,0.847,0.3425,1.0,0.8532353749978938,0.0,2.602038621902466
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,100,0.928875,0.59125,1.0,0.8532353749978938,0.0,2.602038621902466
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,250,0.9840000000000001,0.87,1.0,0.8532353749978938,0.0,2.602038621902466
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,500,0.996625,0.96625,1.0,0.8532353749978938,0.0,2.602038621902466
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,1000,0.9994999999999998,0.995,1.0,0.8532353749978938,0.0,2.602038621902466
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,10,0.53825,0.01,0.99625,0.8964963750031529,21.95530560000043,2.602038621902466
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,25,0.76275,0.1725,1.0,0.8964963750031529,21.95530560000043,2.602038621902466
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,50,0.8823750000000001,0.42625,1.0,0.8964963750031529,21.95530560000043,2.602038621902466
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,100,0.950625,0.67125,1.0,0.8964963750031529,21.95530560000043,2.602038621902466
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,250,0.9889999999999999,0.9,1.0,0.8964963750031529,21.95530560000043,2.602038621902466
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,500,0.998375,0.98625,1.0,0.8964963750031529,21.95530560000043,2.602038621902466
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,1000,1.0,1.0,1.0,0.8964963750031529,21.95530560000043,2.602038621902466
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,10,0.5416249999999999,0.00625,1.0,0.9071818749998783,21.95530560000043,2.602038621902466
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,25,0.7609999999999999,0.1675,1.0,0.9071818749998783,21.95530560000043,2.602038621902466
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,50,0.8838750000000002,0.40875,1.0,0.9071818749998783,21.95530560000043,2.602038621902466
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,100,0.954375,0.695,1.0,0.9071818749998783,21.95530560000043,2.602038621902466
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,250,0.991625,0.92625,1.0,0.9071818749998783,21.95530560000043,2.602038621902466
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,500,0.998375,0.985,1.0,0.9071818749998783,21.95530560000043,2.602038621902466
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,1000,0.999875,0.99875,1.0,0.9071818749998783,21.95530560000043,2.602038621902466
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,10,0.523125,0.00625,0.99875,0.806420750000143,0.0,2.428133487701416
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,25,0.73375,0.12125,1.0,0.806420750000143,0.0,2.428133487701416
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,50,0.8420000000000001,0.2825,1.0,0.806420750000143,0.0,2.428133487701416
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,100,0.9166249999999999,0.51,1.0,0.806420750000143,0.0,2.428133487701416
sentence-transformers/all-MiniLM-L12-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\sentence_transformers__all_MiniLM_L12_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,250,0.973875,0.805,1.0,0.806420750000143,0.0,2.428133487701416
