model,embedding_file,strategy,doc_count,train_docs,train_queries,eval_queries,candidate_anchor_count,anchor_count,top_k,pool_size,mean_recall,all_top_k_contained,any_hit,search_ms_per_query,train_seconds,final_train_loss
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,25,0.6926249999999999,0.09125,1.0,0.3369114999998146,0.0,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,50,0.8121250000000001,0.2575,1.0,0.3369114999998146,0.0,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,100,0.9016250000000001,0.47,1.0,0.3369114999998146,0.0,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,250,0.96375,0.74875,1.0,0.3369114999998146,0.0,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,500,0.9891249999999999,0.91,1.0,0.3369114999998146,0.0,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,1000,0.998,0.98125,1.0,0.3369114999998146,0.0,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,10,0.50775,0.005,0.99625,0.5413255000001982,0.0,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,25,0.711375,0.09875,1.0,0.5413255000001982,0.0,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,50,0.8375,0.31125,1.0,0.5413255000001982,0.0,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,100,0.9241250000000001,0.5625,1.0,0.5413255000001982,0.0,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,250,0.98125,0.84375,1.0,0.5413255000001982,0.0,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,500,0.99625,0.96625,1.0,0.5413255000001982,0.0,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,1000,0.9996250000000001,0.99625,1.0,0.5413255000001982,0.0,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,10,0.53975,0.01125,0.9975,0.5319596250001268,6.972557400000369,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,25,0.765,0.16625,1.0,0.5319596250001268,6.972557400000369,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,50,0.882125,0.41625,1.0,0.5319596250001268,6.972557400000369,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,100,0.9561250000000001,0.71125,1.0,0.5319596250001268,6.972557400000369,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,250,0.992625,0.93125,1.0,0.5319596250001268,6.972557400000369,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,500,0.99875,0.99,1.0,0.5319596250001268,6.972557400000369,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,1000,1.0,1.0,1.0,0.5319596250001268,6.972557400000369,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,10,0.537625,0.01,1.0,0.555373500000087,6.972557400000369,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,25,0.7667500000000002,0.1625,1.0,0.555373500000087,6.972557400000369,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,50,0.8838750000000001,0.4075,1.0,0.555373500000087,6.972557400000369,2.518106698989868
