anchor_strategy,transform,top_k,query_count,anchor_count,anchor_seconds,transform_seconds,eval_seconds,pool_size,mean_recall,all_top_k_contained,any_hit
pca_extremes,sign_centered,10,1000,256,0.08617649995721877,0.06393159995786846,0.3729043999919668,250,0.643,0.124,0.99
pca_extremes,sign_centered,10,1000,256,0.08617649995721877,0.06393159995786846,0.3729043999919668,500,0.7314,0.213,0.997
kmeans_medoid,raw,10,1000,256,17.485316599952057,0.028083499986678362,0.2249872999964282,100,0.8967999999999999,0.516,1.0
kmeans_medoid,raw,10,1000,256,17.485316599952057,0.028083499986678362,0.2249872999964282,250,0.9521000000000002,0.719,1.0
kmeans_medoid,raw,10,1000,256,17.485316599952057,0.028083499986678362,0.2249872999964282,500,0.9758000000000001,0.831,1.0
kmeans_medoid,centered,10,1000,256,17.485316599952057,0.027949500014074147,0.1958080999320373,100,0.6005,0.087,0.974
kmeans_medoid,centered,10,1000,256,17.485316599952057,0.027949500014074147,0.1958080999320373,250,0.678,0.161,0.982
kmeans_medoid,centered,10,1000,256,17.485316599952057,0.027949500014074147,0.1958080999320373,500,0.7338000000000001,0.252,0.989
kmeans_medoid,zscore,10,1000,256,17.485316599952057,0.04207349999342114,0.27913909999188036,100,0.6037,0.089,0.971
kmeans_medoid,zscore,10,1000,256,17.485316599952057,0.04207349999342114,0.27913909999188036,250,0.6791,0.16,0.983
kmeans_medoid,zscore,10,1000,256,17.485316599952057,0.04207349999342114,0.27913909999188036,500,0.7325000000000002,0.251,0.988
kmeans_medoid,row_zscore,10,1000,256,17.485316599952057,0.04607319994829595,0.3514939999440685,100,0.9085000000000001,0.544,1.0
kmeans_medoid,row_zscore,10,1000,256,17.485316599952057,0.04607319994829595,0.3514939999440685,250,0.9576,0.742,1.0
kmeans_medoid,row_zscore,10,1000,256,17.485316599952057,0.04607319994829595,0.3514939999440685,500,0.9775,0.843,1.0
kmeans_medoid,rank,10,1000,256,17.485316599952057,0.14023889997042716,0.3706141000147909,100,0.8879000000000001,0.484,1.0
kmeans_medoid,rank,10,1000,256,17.485316599952057,0.14023889997042716,0.3706141000147909,250,0.9444000000000001,0.69,1.0
kmeans_medoid,rank,10,1000,256,17.485316599952057,0.14023889997042716,0.3706141000147909,500,0.9712000000000001,0.808,1.0
kmeans_medoid,top32,10,1000,256,17.485316599952057,0.08524449996184558,0.21657669998239726,100,0.7012,0.197,0.998
kmeans_medoid,top32,10,1000,256,17.485316599952057,0.08524449996184558,0.21657669998239726,250,0.8299000000000001,0.368,1.0
kmeans_medoid,top32,10,1000,256,17.485316599952057,0.08524449996184558,0.21657669998239726,500,0.9035000000000001,0.554,1.0
kmeans_medoid,top64,10,1000,256,17.485316599952057,0.1373353999806568,0.28970700001809746,100,0.7521,0.251,1.0
kmeans_medoid,top64,10,1000,256,17.485316599952057,0.1373353999806568,0.28970700001809746,250,0.8641,0.433,1.0
kmeans_medoid,top64,10,1000,256,17.485316599952057,0.1373353999806568,0.28970700001809746,500,0.9226,0.602,1.0
kmeans_medoid,binary_top32,10,1000,256,17.485316599952057,0.10705270001199096,0.35464059992227703,100,0.6723000000000001,0.157,0.996
kmeans_medoid,binary_top32,10,1000,256,17.485316599952057,0.10705270001199096,0.35464059992227703,250,0.8067000000000001,0.323,1.0
kmeans_medoid,binary_top32,10,1000,256,17.485316599952057,0.10705270001199096,0.35464059992227703,500,0.8867,0.501,1.0
kmeans_medoid,softmax_0.05,10,1000,256,17.485316599952057,0.07813239993993193,0.43998250004369766,100,0.7309000000000001,0.221,0.998
kmeans_medoid,softmax_0.05,10,1000,256,17.485316599952057,0.07813239993993193,0.43998250004369766,250,0.8232,0.357,1.0
kmeans_medoid,softmax_0.05,10,1000,256,17.485316599952057,0.07813239993993193,0.43998250004369766,500,0.8698,0.428,1.0
kmeans_medoid,softmax_0.1,10,1000,256,17.485316599952057,0.08558559999801219,0.42417640006169677,100,0.7799,0.208,1.0
kmeans_medoid,softmax_0.1,10,1000,256,17.485316599952057,0.08558559999801219,0.42417640006169677,250,0.851,0.318,1.0
kmeans_medoid,softmax_0.1,10,1000,256,17.485316599952057,0.08558559999801219,0.42417640006169677,500,0.8884000000000001,0.393,1.0
kmeans_medoid,sign_centered,10,1000,256,17.485316599952057,0.03010600002016872,0.27557870000600815,100,0.4589,0.024,0.948
kmeans_medoid,sign_centered,10,1000,256,17.485316599952057,0.03010600002016872,0.27557870000600815,250,0.5738000000000001,0.068,0.984
kmeans_medoid,sign_centered,10,1000,256,17.485316599952057,0.03010600002016872,0.27557870000600815,500,0.6724000000000001,0.135,0.992
kmeans_boundary,raw,10,1000,256,14.252739000017755,0.02212950005196035,0.3088542999466881,100,0.9421,0.658,1.0
kmeans_boundary,raw,10,1000,256,14.252739000017755,0.02212950005196035,0.3088542999466881,250,0.9778000000000001,0.849,1.0
kmeans_boundary,raw,10,1000,256,14.252739000017755,0.02212950005196035,0.3088542999466881,500,0.991,0.93,1.0
kmeans_boundary,centered,10,1000,256,14.252739000017755,0.038473299937322736,0.23406170005910099,100,0.6663,0.134,0.988
kmeans_boundary,centered,10,1000,256,14.252739000017755,0.038473299937322736,0.23406170005910099,250,0.7332000000000001,0.242,0.994
kmeans_boundary,centered,10,1000,256,14.252739000017755,0.038473299937322736,0.23406170005910099,500,0.7872,0.332,0.997
kmeans_boundary,zscore,10,1000,256,14.252739000017755,0.042010199977084994,0.38895339996088296,100,0.6652,0.142,0.988
